[2019-10-04 14:29:45.379] [Thread - 32654] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.379] [Thread - 32654] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.379] [Thread - 32656] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.379] [Thread - 32656] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.381] [Thread - 32660] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.381] [Thread - 32660] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.388] [Thread - 32667] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.388] [Thread - 32667] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.388] [Thread - 32668] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.388] [Thread - 32668] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.388] [Thread - 32662] [info] received data len: 12, data: 101 101 W 1

[2019-10-04 14:29:45.388] [Thread - 32662] [info] Successfully withdrawl: $1.00, for customer: 101
[2019-10-04 14:29:45.388] [Thread - 32669] [info] received data len: 12, data: 101 101 W 1

